106/03/09,4501000,986230500,222.00,222.00,218.00,218.00,-4.00,2992
106/03/08,8801878,1949018916,218.00,224.00,218.00,222.00,4.00,5034,6.0
106/03/07,4286776,931814668,216.00,218.00,216.00,218.00,,2602,7.48
106/03/06,5445472,1184483208,218.00,219.00,216.00,218.00,-1.50,3063,5.39
106/03/03,7718449,1703475280,223.00,223.50,218.50,219.50,-4.00,4809,2.4
106/03/02,8948992,2009193808,227.00,227.50,222.50,223.50,-1.50,4279,10.28
106/03/01,7758852,1750137430,226.00,228.00,224.00,225.00,1.00,4167,11.7
106/02/24,7886657,1768779528,225.00,225.50,223.00,224.00,-0.50,3847,9.07
106/02/23,5740506,1289368575,226.00,226.50,223.50,224.50,-1.00,3012,10.43
106/02/22,4516905,1022485559,228.00,228.50,225.00,225.50,,3087,13.55
106/02/21,6936396,1572528283,225.50,230.00,225.00,225.50,1.00,4270,13.47
106/02/20,4623007,1039644054,227.00,227.00,224.00,224.50,,2899,11.32
106/02/18,2729623,612493347,225.00,225.00,223.50,224.50,-0.50,1896,9.51
106/02/17,16002564,3583214685,217.50,227.00,217.50,225.00,8.00,10543,9.72
106/02/16,5243197,1136983335,218.00,218.00,216.00,217.00,0.50,3104,6.08
106/02/15,5832290,1264413263,217.00,218.00,215.50,216.50,-0.50,3687,7.04
106/02/14,4610846,997080582,215.00,217.50,215.00,217.00,,2927,8.9
106/02/13,5555868,1205280856,217.00,218.00,215.50,217.00,1.50,3201,6.95
106/02/10,6359248,1372555568,217.00,217.50,215.00,215.50,0.50,3168,7.78
106/02/09,5620867,1205878232,215.00,215.50,213.50,215.00,1.50,3168,10.98
106/02/08,8703669,1863976166,214.00,217.00,213.00,213.50,-4.50,5624,11.59
106/02/07,8813494,1902352192,212.00,218.00,210.00,218.00,6.00,6074,13.42
106/02/06,10439845,2200855430,208.00,214.00,206.00,212.00,5.00,5853,20.98
106/02/03,9549729,1974927500,205.00,209.00,205.00,207.00,2.50,4968,27.35
106/01/24,5775917,1236976685,212.50,215.00,212.50,213.50,-1.00,3195,13.77
